m1,rule1,link,m2,rule2,n1,n2,s1,s2,j
1,high_cholesterol drug_use heart_failure alcohol_use,,0,,4,0,0.695,0.7972222222222223,0.49222222222222234
1,high_cholesterol drug_use heart_failure high_rbc,,0,,4,0,0.765,0.7261111111111112,0.49111111111111105
1,drug_use heart_failure high_rbc,,0,,3,0,0.755,0.7344444444444445,0.48944444444444457
1,high_cholesterol drug_use heart_failure,,0,,3,0,0.68,0.8055555555555556,0.4855555555555555
1,high_cholesterol drug_use heart_failure alcohol_use high_rbc,,0,,5,0,0.765,0.7194444444444444,0.48444444444444446
1,high_cholesterol drug_use heart_failure alcohol_use diabetes,,0,,5,0,0.7,0.7838888888888889,0.4838888888888888
1,high_cholesterol drug_use heart_failure diabetes high_rbc,,0,,5,0,0.765,0.7183333333333334,0.4833333333333334
1,drug_use heart_failure alcohol_use high_rbc,,0,,4,0,0.755,0.7277777777777777,0.48277777777777775
1,high_cholesterol drug_use heart_failure diabetes,,0,,4,0,0.69,0.7922222222222223,0.4822222222222221
1,high_cholesterol heart_failure high_rbc,,0,,3,0,0.74,0.7411111111111112,0.48111111111111127
1,drug_use heart_failure diabetes high_rbc,,0,,4,0,0.755,0.7255555555555555,0.4805555555555556
1,high_cholesterol drug_use heart_failure high_rbc sedentary,,0,,5,0,0.77,0.7083333333333334,0.4783333333333335
1,high_cholesterol drug_use smoking heart_failure alcohol_use,,0,,5,0,0.725,0.7533333333333333,0.4783333333333333
2,high_cholesterol drug_use smoking heart_failure high_rbc,,0,,5,0,0.655,0.8227777777777778,0.47777777777777786
1,high_cholesterol heart_failure alcohol_use high_rbc,,0,,4,0,0.745,0.7327777777777778,0.47777777777777786
1,drug_use heart_failure high_rbc sedentary,,0,,4,0,0.765,0.7122222222222222,0.4772222222222222
1,high_cholesterol drug_use high_rbc sedentary,,0,,4,0,0.745,0.7322222222222222,0.4772222222222222
1,high_cholesterol drug_use high_rbc,,0,,3,0,0.72,0.7566666666666667,0.47666666666666657
1,drug_use heart_failure alcohol_use diabetes high_rbc,,0,,5,0,0.755,0.7188888888888889,0.4738888888888888
1,drug_use heart_failure alcohol_use high_rbc sedentary,,0,,5,0,0.765,0.7083333333333334,0.4733333333333334
1,high_cholesterol heart_failure diabetes high_rbc,,0,,4,0,0.74,0.7333333333333333,0.47333333333333316
1,high_cholesterol drug_use smoking heart_failure high_rbc,,0,,5,0,0.775,0.6977777777777778,0.47277777777777796
1,high_cholesterol drug_use heart_failure alcohol_use sedentary,,0,,5,0,0.71,0.7627777777777778,0.47277777777777774
1,high_cholesterol drug_use smoking heart_failure,,0,,4,0,0.715,0.7577777777777778,0.47277777777777774
1,high_cholesterol drug_use alcohol_use high_rbc sedentary,,0,,5,0,0.745,0.7272222222222222,0.4722222222222223
1,high_cholesterol high_rbc sedentary,,0,,3,0,0.73,0.7416666666666667,0.4716666666666667
